PKN,BIN,BIG,IPA,IPS,MTK,PJO
85,94,87,82,81,84,83
81,82,84,86,76,80,75
87,97,87,92,90,93,85
82,82,77,78,80,78,75
81,77,76,84,77,78,75
80,82,82,80,82,78,80
92,93,92,94,94,93,96
88,91,88,87,90,95,83
84,81,79,81,79,80,82
81,88,86,86,83,87,75
77,76,76,83,79,78,77
89,89,91,87,93,89,91
79,78,77,87,81,80,78
82,86,86,86,85,82,82
92,94,93,88,92,89,93
82,81,78,77,78,77,75
90,88,88,85,86,84,92
94,96,97,95,96,92,91
82,84,91,89,81,84,75
82,84,90,81,79,81,78
86,87,90,89,88,88,95
90,90,90,83,88,88,93
87,89,86,85,87,87,88
84,84,85,80,85,80,93
75,79,81,79,75,75,75
88,92,92,92,88,93,93
88,89,92,88,88,88,92
84,90,87,93,86,88,83
85,84,86,87,86,83,87
81,82,83,81,80,82,81
89,90,91,90,88,89,93
